object_id,time,groundwater_storage
25,2005-12-01 00:00:00,9.298128503
25,2006-01-01 00:00:00,-5.617183575
25,2006-02-01 00:00:00,61.28253577
25,2006-03-01 00:00:00,103.473173
25,2006-04-01 00:00:00,89.84116451
25,2006-05-01 00:00:00,72.23259758
25,2006-06-01 00:00:00,90.64349485
25,2006-07-01 00:00:00,106.039653
25,2006-08-01 00:00:00,119.3868354
25,2006-09-01 00:00:00,110.7597825
25,2006-10-01 00:00:00,57.66527794
25,2006-11-01 00:00:00,45.06252785
25,2006-12-01 00:00:00,6.769599644
25,2007-01-01 00:00:00,48.52274635
25,2007-02-01 00:00:00,41.34603222
25,2007-03-01 00:00:00,54.86043088
25,2007-04-01 00:00:00,65.93544096
25,2007-05-01 00:00:00,56.49195162
25,2007-06-01 00:00:00,69.82426588
25,2007-07-01 00:00:00,90.78097315
25,2007-08-01 00:00:00,77.84049242
25,2007-09-01 00:00:00,43.70985209
25,2007-10-01 00:00:00,6.637813331
25,2007-11-01 00:00:00,12.30536427
25,2007-12-01 00:00:00,9.996391095
25,2008-01-01 00:00:00,-3.554802949
25,2008-02-01 00:00:00,-10.73241171
25,2008-03-01 00:00:00,16.58281486
25,2008-04-01 00:00:00,18.44244434
25,2008-05-01 00:00:00,25.09681104
25,2008-06-01 00:00:00,26.28222337
25,2008-07-01 00:00:00,23.04154981
25,2008-08-01 00:00:00,12.84414455
25,2008-09-01 00:00:00,-13.04368866
25,2008-10-01 00:00:00,-37.51479886
25,2008-11-01 00:00:00,-71.30666831
25,2008-12-01 00:00:00,-82.59422794
25,2009-01-01 00:00:00,-80.55004243
25,2009-02-01 00:00:00,-58.13096432
25,2009-03-01 00:00:00,-38.33187116
25,2009-04-01 00:00:00,5.783309909
25,2009-05-01 00:00:00,-1.33932361
25,2009-06-01 00:00:00,0.464455364
25,2009-07-01 00:00:00,7.845269396
25,2009-08-01 00:00:00,3.654219339
25,2009-09-01 00:00:00,5.103671718
25,2009-10-01 00:00:00,-28.0771636
25,2009-11-01 00:00:00,-49.48378094
25,2009-12-01 00:00:00,-66.67718073
25,2010-01-01 00:00:00,-32.88267588
25,2010-02-01 00:00:00,-15.1971237
25,2010-03-01 00:00:00,2.411042762
25,2010-04-01 00:00:00,-7.747999387
25,2010-05-01 00:00:00,18.11697927
25,2010-06-01 00:00:00,6.286034013
25,2010-07-01 00:00:00,34.06738186
25,2010-08-01 00:00:00,20.73340143
25,2010-09-01 00:00:00,0.749734855
25,2010-10-01 00:00:00,-34.56548059
25,2010-11-01 00:00:00,-59.1207035
25,2010-12-01 00:00:00,-44.57545952
25,2011-02-01 00:00:00,-41.20605533
25,2011-03-01 00:00:00,-40.30086189
25,2011-04-01 00:00:00,-3.907858364
25,2011-05-01 00:00:00,21.06218998
25,2011-07-01 00:00:00,47.9452903
25,2011-08-01 00:00:00,19.1951474
25,2011-09-01 00:00:00,-10.81360262
25,2011-10-01 00:00:00,-32.16130361
25,2011-11-01 00:00:00,-58.30050013
25,2011-12-01 00:00:00,-56.51437171
25,2012-01-01 00:00:00,-67.58887736
25,2012-02-01 00:00:00,-58.92369243
25,2012-03-01 00:00:00,25.88879637
25,2012-04-01 00:00:00,39.88679623
25,2012-06-01 00:00:00,24.5958526
25,2012-07-01 00:00:00,1.684147306
25,2012-08-01 00:00:00,-9.841518452
25,2012-09-01 00:00:00,-13.59367044
25,2012-11-01 00:00:00,-53.82513051
25,2012-12-01 00:00:00,-72.54154351
